"id","created_time","message","story"
"0","2014-10-02T19:11:02+0000","I add ""Drink Beer"" to my weekend to-do list so I know I'll at least get one thing done.",""
"1","2013-05-05T14:40:24+0000","I asked my North Korean friend how it was there, he said ""I can't complain.""",""
"2","2011-09-08T09:51:35+0000","Birth control pills should be for men. It makes much more sense to unload a gun, than to shoot at a bulletproof vest.",""
"3","2015-06-19T03:45:42+0000","I heard Chipotle is offering a new Ravens burrito. It has everything on it but Rice.",""
"4","2012-01-15T02:18:13+0000","Hello Fire Department? Is this Mr. December? I'm stuck in a tree. I mean, Meow...",""
"5","2010-11-27T19:58:18+0000","Why does everyone want me to come out of my comfort zone? I worked really hard to get there.",""
"6","2014-04-27T22:31:36+0000","“Can I pet him or will he bite?” is a fun thing to ask parents that keep their kid on a leash.",""
"7","2012-01-24T05:28:19+0000","I find the best way to get rid of headaches is to send them either to their rooms or outside to play.",""
"8","2014-02-09T12:01:13+0000","You can tell a lot about a woman's mood by her hands. For instance, if they are holding a gun she's probably angry.",""
"9","2012-05-18T21:06:44+0000","Why aren't lawyers sworn to tell the truth along with everyone else at the proceedings?",""
"10","2014-08-22T10:51:42+0000","I believe that if you love something, you should let it go. This is why you should never let me hold your baby.",""
"11","2016-05-23T21:46:01+0000","In the interest of fighting the childhood obesity epidemic, I've decided to eat all of the Halloween candy that I bought.",""
"12","2012-09-09T22:11:26+0000","Its funny how head and shoulders becomes head, shoulders, knees and toes, when I run out of body wash.",""
"13","2010-04-06T03:44:48+0000","Don't you hate it when someone answers their own questions? I do.",""
"14","2016-04-04T15:17:33+0000","I hate when people with weirdly spelled common names get mad when you misspell their name. I didn't misspell it, your parents did.",""
"15","2012-09-27T02:30:54+0000","Spiders are the only web developers that are happy to find bugs.",""
"16","2010-12-14T20:12:57+0000","If I agreed with you, we'd both be wrong.",""
"17","2015-01-18T14:16:51+0000","Nothing beats a good drum solo on your steering wheel while you're waiting for the light to turn green.",""
"18","2015-05-23T02:12:53+0000","I'm against picketing but I don't know how to show it.",""
"19","2016-11-03T18:36:57+0000","Got hammered last night but still had the good sense to take a cab home. The problem now is how am I going to return it without getting into trouble...",""
"20","2013-08-18T05:59:12+0000","I worry someone has already tweeted a cure for cancer but there was a typo so we just sighed and moved on",""
"21","2013-01-17T09:02:35+0000","Anyone else notice that Disney made Hercules a ginger so that he could swim in the soul sucking river of Styx without dying?",""
"22","2014-05-03T00:50:51+0000","Studying is a lot like picking up dog crap...No one likes to do it, but it has to be done",""
"23","2010-11-17T16:56:58+0000","Steve Jobs was born out of wedlock, put up for adoption at birth, dropped out of college, then changed the world. What's your excuse?",""
"24","2012-06-13T18:38:58+0000","Sci-fi fans who use Star Wars references for real life situations are single virgins because they're looking for love in Alderaan places.",""
"25","2014-06-26T06:23:34+0000","If at first you don't succeed, try again may be good advice, but trust me, the judge doesn't want to hear it.",""
"26","2010-08-20T15:46:40+0000","Seeing how Iron Man and Batman are only really smart and super rich, I’m really disappointed with Bill Gates.",""
"27","2013-07-27T13:49:27+0000","Getting my kids to the airport always feels like I'm recreating the first 10 minutes of ""Home Alone.""",""
"28","2012-01-24T06:36:26+0000","Toilet paper is a lot like money... You never seem to have any when you need it most!",""
"29","2016-10-05T19:44:38+0000","I want to start a band called ""Day Job"" so that when we play and people say ""don't quit your day job"" I'll be like ""thanks we practice a lot"".",""
"30","2010-03-05T23:57:52+0000","I trust google maps more than I trust most people.",""
"31","2011-06-20T03:11:05+0000","I like to dump Skittles in the toilet and then flush it because it looks like a little tiny NASCAR race.",""
"32","2013-05-01T05:48:05+0000","Behind every successful man, stands a surprised mother in law.",""
"33","2015-01-11T02:16:51+0000","Your voicemail will be ignored in the order in which it was received. Beep",""
"34","2015-06-05T04:53:09+0000","""And he said unto his brethren, A man shall not poketh another man on facebook for thine is gayeth"" #lostbibleverses",""
"35","2013-11-09T17:43:33+0000","You mean it's not normal for the ATM to play a laugh track when it displays your balance?",""
"36","2011-08-02T11:46:01+0000","Counting to ten when someone pisses you off works much better if you're counting punches.",""
"37","2014-06-08T15:47:49+0000","I’m that friend that you have to explain to people before you introduce me and apologize about afterwards.",""
"38","2011-05-07T14:23:33+0000","What's with all the excessive tanning on Jersey Shore? If I wanted to see talking carrots, I'd watch Veggie Tales.",""
"39","2012-11-01T18:47:02+0000","I had to go on two diets because one wasn't giving me enough food.",""
"40","2011-02-12T14:58:34+0000","The last time someone told me I looked hot it was 102 degrees outside.",""
"41","2014-08-02T03:14:03+0000","If I don’t talk to myself, who will?",""
"42","2011-05-02T03:58:33+0000","""It's cute, but it really doesn't go with my outfit"" - How I just got out of holding a baby",""
"43","2014-03-24T09:10:18+0000","I'm so pissed at my company's IT people. I just found out hot, local single women have been trying to email me and they've been intercepting them.",""
"44","2013-12-25T04:04:21+0000","I love to cook with wine, sometimes I even put it in the food.",""
"45","2010-06-18T00:03:42+0000","Any machine is a smoke machine if you just use it wrong enough.",""
"46","2010-06-15T18:43:26+0000","How’s your day going? Here’s a good way to tell: Is it “already” 2:00pm or “only” 2:00pm?",""
"47","2011-11-03T17:07:47+0000","I'm not saying that Demi Moore is too thin, but Victoria Beckham begged her to eat an M&M.",""
"48","2015-05-27T06:17:43+0000","Having one child makes you a parent. Having two makes you a referee.",""
"49","2010-10-23T22:43:36+0000","Gambling addiction hotlines would do so much better if every fifth caller was a winner.",""
"50","2014-11-13T16:20:23+0000","The heaviest thing at the gym tonight was the irony of Chris Brown blaring during the women's kickboxing class.",""
"51","2013-04-24T07:12:58+0000","Someone needs to take a chain saw to your family tree.",""
"52","2010-11-05T09:03:52+0000","Ladies, if you suspect your man of cheating and you know where the ""mystery"" woman lives... drive by the house and if the WiFi connects you have your answer.",""
"53","2013-07-05T01:32:02+0000","I demand a ""that's what she said"" button be added to Facebook.",""
"54","2012-11-11T23:25:36+0000","I used to wonder what it was like to read people’s minds. Then I got a Facebook account and I got over it",""
"55","2015-07-26T00:51:18+0000","Nothing bonds women faster than finding out that they hate the same people.",""
"56","2014-03-10T23:36:41+0000","I have always wanted to start a brand of Christian themed lollipops and call them Catho-licks.",""
"57","2014-01-12T03:41:40+0000","Monkeys made it to space before we did without even trying.",""
"58","2016-02-07T08:04:25+0000","A roman walks into a bar. He holds up two fingers and says ""Five beers please.""",""
"59","2013-11-16T03:59:34+0000","My life coach advised me to run out the clock.",""
"60","2011-10-11T09:17:07+0000","Those annoying subscription cards that fall out of magazines are the earliest forms of pop-up ads.",""
"61","2012-04-24T23:18:16+0000","Have you ever wondered how long it would take for a giraffe to throw up?",""
"62","2013-02-02T13:20:08+0000","Sometimes I wake up grumpy, and other times I just let her sleep",""
"63","2011-07-14T18:52:02+0000","My left arm must be exhausted, I woke up before it did.",""
"64","2015-04-15T20:07:44+0000","My wallet is like a onion. When I open it, it makes me cry.",""
"65","2016-07-14T04:37:11+0000","Congrats to Jay Z on his 100th problem.",""
"66","2012-03-19T17:59:55+0000","I find Girls are a lot like universities. I spend hours looking at them, only to realize I can't get into any of them.",""
"67","2013-08-15T19:42:08+0000","If owls are so smart, how come they don't say ""Whom""?",""
"68","2014-05-14T04:10:42+0000","Early to bed, early to rise makes a man healthy, wealthy and a crappy party host.",""
"69","2016-05-03T20:23:46+0000","Dear girls who say they want to date a vampire, AIDS is spread through blood too. Sincerely, maybe you should reconsider...",""
"70","2014-07-20T06:38:33+0000","No matter what amazing things you accomplish or how fantastic you are, a cat will always think it is better than you.",""
"71","2013-12-09T19:37:05+0000","my new boyfriend calls me a stalker. Well he's not actually my boyfriend.... YET",""
"72","2015-05-18T12:36:24+0000","You know that feeling when you walk into a room and forget why you went in the second you get there? That's the Sims player controlling you, cancelling your action.",""
"73","2016-12-07T19:12:35+0000","My Smart Phone has more computing power than NASA did in 1969 and they went to the moon. All I do is play Angry Birds. Yes, I'm an underachiever.",""
"74","2013-01-17T15:58:05+0000","“truth or dare” “Dare” “Order us pizza”",""
"75","2012-12-25T14:25:26+0000","Is it weirder that a guy tried to get cans of green beans through airport security or that they didn't let him?",""
"76","2014-07-02T13:25:21+0000","I Don't Have a Bad Handwriting. I have my own Font.",""
"77","2012-09-06T09:12:52+0000","I've been trying to fill my head with information. Fortunately, there's plenty of empty space for it",""
"78","2014-09-21T05:09:13+0000","I wish computer companies would design a keyboard with a removable crumb tray, kind of like my toaster.",""
"79","2016-06-26T01:52:37+0000","So I met this prostitute who said she'd do anything for $20. Guess who got their homework done.",""
"80","2012-03-22T05:44:53+0000","My Grandma would be pissed if she found out how many times she's died so I could get out of having to go somewhere.",""
"81","2010-06-15T16:38:44+0000","New philosophy on life: Do unto others, then run like hell.",""
"82","2014-04-22T14:12:55+0000","Apparently putting Alka-Seltzer in my mouth while getting baptized and pretending I’m being possessed by the devil is not funny.",""
"83","2015-02-16T08:40:21+0000","Starbucks isn't really that expensive compared to how much Victoria's Secret charges per cup.",""
"84","2012-10-05T15:51:46+0000","Sometimes my neighbors love my music so much that they invite the police to listen.",""
"85","2016-10-10T16:57:54+0000","I must have a great butt because every time I walk away from my coworkers I always hear 'What an ass'",""
"86","2012-03-22T06:42:32+0000","How do I like my eggs? In a cake...",""
"87","2011-05-08T09:45:25+0000","The easiest way for me to tell if a woman is really listening to me is if she rolls her eyes.",""
"88","2011-02-03T04:23:04+0000","No thanks, marriage. If I want to never get laid, I'll just start wearing crocs.",""
"89","2013-05-16T22:55:21+0000","Of all the lies I've told in my life, ""Just kidding"" is my favorite.",""
"90","2014-12-22T21:00:06+0000","FACT: Vampires aren't on Tumblr because they can't take pictures of themselves in front of a mirror.",""
"91","2015-11-25T10:07:18+0000","A REALLY smart phone would have cut me off before I asked my wife ""Have you been gaining weight?",""
"92","2016-02-12T16:55:11+0000","God put me on this earth to accomplish many goals and tasks. Right now I am so far behind, I am never going to die.",""
"93","2015-02-20T22:40:51+0000","If you need some help at Home Depot and are being ignored, get on one of their step ladders",""
"94","2014-04-24T02:14:53+0000","This salad bar needs less salad and more bar.",""
"95","2012-03-15T01:17:23+0000","A recent government survey reports that people are more cynical these days than any time in history. Like I'm really supposed to believe that…",""
"96","2013-01-22T20:26:50+0000","I bet the Hulk's wife got pretty good at pissing him off once she realized that EVERYTHING got twice as big when he turned green.",""
"97","2016-06-22T19:18:19+0000","What do the symbols on bathroom doors look like in Scotland? Stick figure wear kilts for men, longer kilts for the ladies?",""
"98","2016-02-07T17:45:18+0000","I Don't Have a Bad Handwriting. I have my own Font.",""
"99","2012-09-01T20:19:32+0000","Are rhinos just unicorns with a thyroid problem?",""
"100","2014-07-02T10:44:51+0000","I'm secretly recording all of my classes this week and I'm going to sell them on Etsy as a natural sleep aid.",""
"101","2011-09-22T03:54:59+0000","You can’t please everyone, so you might as well just concentrate on me.",""
"102","2014-08-09T05:57:07+0000","I've spotted six Pokémon today but I don't have the game so I may need new meds...",""
"103","2012-04-06T18:52:58+0000","Circles are completely pointless.",""
"104","2014-02-19T02:40:43+0000","Law and Order is just Blue's Clues for adults.",""
"105","2013-02-03T10:55:31+0000","L.A. traffic is so bad it would be quicker to ride piggyback on a midget with a limp.",""
"106","2013-04-24T04:32:29+0000","Not sure if I want buns of steel, or buns of cinnamon.",""
"107","2012-12-05T16:49:06+0000","I'm at my neighbor's house having the most delicious dinner. Hope I finish before they get home!",""
"108","2011-08-06T16:30:39+0000","My son said his favorite mythical creature is a unicorn. He then asked me if I had a favorite mythical creature and I said ""Yes, an honest politician.""",""
"109","2016-05-21T23:16:44+0000","Nothing says ""Do not trust this local bank."" like a man wearing a chicken suit in the commercial.",""
"110","2016-08-16T07:06:07+0000","Sometimes, I try to act nonchalant, but underneath I am super chalant.",""
"111","2013-05-03T13:21:44+0000","Have you ever seen a baby horse trying to stand for the first time? That's what I look like getting out of bed in the morning.",""
"112","2015-03-14T12:02:44+0000","If I'm going to obey ""Love thy neighbor,"" I need to move.",""
"113","2011-01-19T04:54:28+0000","Cool Hand Luke = Paul Newman. Cool hand, Luke = Mark Hamill",""
"114","2011-12-17T20:11:07+0000","Law and Order is just Blue's Clues for adults.",""
"115","2016-08-05T22:30:06+0000","I'll never understand why Mario still plays golf and rides go-karts with the guy who violently kidnaps his girlfriend all the time.",""
"116","2012-02-17T05:18:15+0000","I just realized that I haven't done the ""Hockey Pokey"" in over 10 years. I guess when you get older, you just forget what it's all about.",""
"117","2010-02-17T21:02:37+0000","Understand that while you're partying, people like me are trying to get ahead in life taking YOUR spot.",""
"118","2011-02-01T08:53:51+0000","Facebook has proven that properly using they're, their, and there, is in fact rocket science for most people.",""
"119","2010-10-21T07:33:40+0000","Excuse me, here's your nose. I found it in my business.",""
"120","2015-09-07T14:09:10+0000","This would be the absolute perfect time to actually rob Ryan Lochte.",""
